,测试因子,所属大类,年化收益率,年化夏普率,最大回撤率,alpha,beta,信息比率
1,GrossProfit,基础类,0.07500659067372872,1.4404165159908422,0.10275649371365043,0.07784478999390915,0.4937466545690481,0.78325650437987
2,WorkingCapital,基础类,0.04487741714193949,0.5915904567551336,0.2286578963792812,0.052863817883237005,0.5414462695699366,0.5479725758190225
3,TotalFixedAssets,基础类,0.055980079595072674,0.9233112884640041,0.13382577738960524,0.060450408518257476,0.4966438892514182,0.6314612756065
4,NetIntExpense,基础类,0.11866562599654552,2.1674560065721677,0.1367382451506691,0.12414751573712045,0.5761041283471238,1.051114838789823
5,FinanExpenseTTM,基础类,0.13357148915200726,2.5737289525772766,0.12965218295764278,0.13581036734421778,0.5514047017830646,1.1540638620180754
6,AdminExpenseTTM,基础类,0.12389389959411767,2.7900568675663524,0.10233360913983897,0.12121655936650573,0.4740331949258558,1.1361269764469055
7,DebtEquityRatio,质量类,0.02661595717973464,0.15956036605570087,0.16312345522235538,0.034159909655808736,0.51788500231849,0.4036900529911489
8,SuperQuickRatio,质量类,0.07135739337976399,1.0780987643478774,0.20809492508219504,0.08164905048749202,0.5623089153332127,0.6636647155085221
9,CashToCurrentLiability,质量类,0.09722546801589194,1.6634440758264684,0.1714083504655656,0.105020093962748,0.5677406027958024,0.8663703828948531
10,ROIC,质量类,0.13607088024907887,2.260411355133153,0.21505135918830484,0.1441409420214608,0.6126982887003076,1.0625475233985775
11,InterestCover,质量类,0.03883067309864829,0.42077536357047335,0.1421495269367366,0.0485126489885235,0.542777968183865,0.4700591358278554
12,ROAEBIT,质量类,0.03262861051577804,0.26771154659288326,0.19981863835230415,0.04553255082905494,0.5927705203892277,0.4331788024335882
13,TVMA20,情绪类,0.11926215529984407,0.09290755376742792,0.21280364523219236,0.046349987770899374,0.6016708813994999,0.4842429151028464
14,VOL20,情绪类,0.0839743055496898,0.02845670896691019,0.15609591433796868,0.03256378060499506,0.5164545384202233,0.37098916961108847
15,OBV20,情绪类,0.10002732684178828,0.0629304644534211,0.1408102193326015,0.03399074104856147,0.4581820097203014,0.38985874030067913
16,JDQS20,情绪类,0.07573701079635471,0.011012144593941075,0.18657138100700663,0.03591341485425488,0.5892255401099838,0.3409487523642463
6,BasicEPS,每股指标类,0.02118349322710711,0.027502387030057363,0.2536317465618341,0.03190676836335685,0.5850358572254315,0.39350941448417415
7,EPS,每股指标类,0.04020079312723812,0.47984213218179594,0.2005036433805834,0.04964506204462352,0.5780954548782811,0.5491027242298611
12,EnterpriseFCFPS,每股指标类,0.09996223420437556,1.8288612287760626,0.1691829462841007,0.10522465333710923,0.5452231471070897,0.9170813895181444
14,RSTR24,行业分析师类,0.02640207102829839,0.13043447482742865,0.25171336761320934,0.04343486514803267,0.6745754140949497,0.42248478797445566
15,FY12P,行业分析师类,0.05956847692549738,1.0239755486794508,0.17104012627942,0.06493085445197917,0.5341503745684829,0.7127925411233788
16,SFY12P,行业分析师类,0.023837733288698537,0.09416278836977601,0.20835642623613704,0.03229567853270513,0.552330333633344,0.4163006074800738
19,PEIndu,行业分析师类,0.03839407220792879,0.44299582853129266,0.22199963706200482,0.046517941319215605,0.5452331131939389,0.5111331490830063
21,EPIBS,行业分析师类,0.05956847692549738,1.0239755486794508,0.17104012627942,0.06493085445197917,0.5341503745684829,0.7127925411233788
26,AVGPRICE,特色技术指标,0.03020352254514802,0.236102725744354,0.2611262246006662,0.03945862427419345,0.5450217739601115,0.42908155371830536
27,BOP,特色技术指标,0.031029725528055607,0.2628470718482616,0.12303764189175251,0.03999222915009529,0.5557801038409764,0.4589185904089412
28,KAMA,特色技术指标,0.022014178229327497,0.048308303032093804,0.2147560662346371,0.030935148171660792,0.5518582434615962,0.3909231194337302
29,LINEARREG,特色技术指标,0.03046864874449473,0.24013091323894198,0.2922561164371613,0.040181667356756746,0.5530988615232896,0.4323823250273798
30,STDDEV,特色技术指标,0.03514289460960773,0.3559591905404093,0.15768499293309893,0.04369218571339232,0.5398642215648097,0.468875345039523
